Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 7
2087 ; 67 ; 3.31683 ; 192.024 ; 
2087 ; 67 ; 3.31683 ; 194.951 ; 
2087 ; 67 ; 3.31683 ; 197.938 ; 
2087 ; 67 ; 3.31683 ; 195.926 ; 
2087 ; 67 ; 3.31683 ; 202.153 ; 
2087 ; 67 ; 3.31683 ; 194.851 ; 
2087 ; 67 ; 3.31683 ; 193.302 ; 
2087 ; 67 ; 3.31683 ; 197.248 ; 
2087 ; 67 ; 3.31683 ; 198.905 ; 
2087 ; 67 ; 3.31683 ; 197.577 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 176.73
Œredni wspó³czynnik b³êdu [j]:  ; 67
Œredni wspó³czynnik b³êdu [%]:  ; 3.31683
Optymalny koszt:  ; 2020

Rozwi¹zania dla beta = 8
2075 ; 55 ; 2.72277 ; 195.08 ; 
2075 ; 55 ; 2.72277 ; 193.45 ; 
2075 ; 55 ; 2.72277 ; 196.731 ; 
2075 ; 55 ; 2.72277 ; 197.554 ; 
2075 ; 55 ; 2.72277 ; 192.381 ; 
2087 ; 67 ; 3.31683 ; 195.631 ; 
2087 ; 67 ; 3.31683 ; 190.412 ; 
2087 ; 67 ; 3.31683 ; 192.825 ; 
2087 ; 67 ; 3.31683 ; 196.16 ; 
2087 ; 67 ; 3.31683 ; 196.95 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 175.022
Œredni wspó³czynnik b³êdu [j]:  ; 61
Œredni wspó³czynnik b³êdu [%]:  ; 3.0198
Optymalny koszt:  ; 2020

Rozwi¹zania dla beta = 9
2087 ; 67 ; 3.31683 ; 194.776 ; 
2087 ; 67 ; 3.31683 ; 193.525 ; 
2087 ; 67 ; 3.31683 ; 192.94 ; 
